uuid,match_id,participants,game_creation,game_length,game_version,tft_set_number,puuid,summoner_name,level,placement,last_round,time_eliminated,total_damage_to_players,players_eliminated,arcana,chrono,dragon,druid,eldritch,faerie,frost,honeymancy,portal,pyro,ravenous,sugarcraft,witchcraft,ascendant,bastion,batqueen,blaster,explorer,hunter,incantor,mage,multistriker,preserver,scholar,shapeshifter,vanguard,warrior,
NA1_5127876151_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127876151,"[""wigglywu"", ""MSJ Ahn"", ""Kurumx"", ""LF JOB NYC"", ""Jomei"", ""VIT k3soju"", ""Phoenixaa"", ""MSJ Cosmo""]",1.72822E+12,2036.3944091796875,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,35,2023.205322265625,131,2,4,0,0,0,0,1,0,0,0,2,0,2,0,1,2,0,2,0,0,0,0,1,2,2,0,2,0,
NA1_5127873880_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127873880,"[""MSJ Ahn"", ""VIT k3soju"", ""syz fanboy 2"", ""ZTK"", ""Connerisme"", ""Ceiling"", ""me1stor8th"", ""Phoenixaa""]",1.72822E+12,2126.830810546875,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,5,30,1732.1656494140625,92,1,0,2,0,0,0,0,8,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,2,0,
NA1_5127868013_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127868013,"[""me1stor8th"", ""syz fanboy 2"", ""ZTK"", ""MrBombastic"", ""VIT k3soju"", ""\u529dj\u4ece\u826f\u4e36Last\u6ce2"", ""Ceiling"", ""Phoenixaa""]",1.72821E+12,2043.711426,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,8,3,33,1968.368896484375,116,1,1,2,0,0,0,5,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,3,3,0,0,0,1,
NA1_5127859890_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127859890,"[""Phoenixaa"", ""syz fanboy 2"", ""ZTK"", ""VIT k3soju"", ""blues"", ""Ceiling"", ""Kiyoon"", ""me1stor8th""]",1.72821E+12,2235.075439453125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,4,35,2090.507080078125,135,1,2,2,0,0,0,5,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,3,2,0,0,1,
NA1_5127879583_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127879583,"[""LadyLuck"", ""sexpert"", ""MSJ Cosmo"", ""149cm"", ""Kurumx"", ""me1stor8th"", ""VIT k3soju"", ""\u529dj\u4ece\u826f\u4e36Last\u6ce2""]",1.72822E+12,2010.4537353515625,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,4,31,1774.0360107421875,89,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,1,0,1,2,0,
NA1_5127844657_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127844657,"[""VIT k3soju"", ""VIT setsuko"", ""brainlaggg"", ""Connerisme"", ""Chef"", ""Phoenixaa"", ""Wong Fei Hung EX"", ""Kiyoon""]",1.72821E+12,2003.245361328125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,35,1990.0775146484375,113,2,0,2,0,0,0,3,1,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,5,2,0,0,2,
NA1_5127837193_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127837193,"[""VIT setsuko"", ""Marcel P Clash"", ""Kiyoon"", ""VIT k3soju"", ""CookiesOP"", ""Carelessd"", ""Squiggle"", ""Kurumx""]",1.72821E+12,2120.11084,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,1,38,2106.943603515625,154,1,0,6,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,2,4,1,0,0,2,
NA1_5127828954_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127828954,"[""robinsongz"", ""Carelessd"", ""Squiggle"", ""Kurumx"", ""Kiyoon"", ""CookiesOP"", ""VIT setsuko"", ""VIT k3soju""]",1.7282E+12,1822.8865966796875,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,32,1811.0220947265625,121,0,0,2,0,0,1,0,1,0,1,0,1,1,6,0,0,1,0,0,0,2,0,0,2,1,2,0,2,
NA1_5127811060_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127811060,"[""VIT k3soju"", ""PurePiss"", ""Kiyoon"", ""yolomycolin"", ""robinsongz"", ""brainlaggg"", ""sirmasterapu"", ""VIT setsuko""]",1.7282E+12,2031.791992,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,1,37,2018.625,164,4,0,2,0,0,1,0,1,0,1,0,1,0,8,0,1,1,0,0,0,2,0,0,2,1,2,0,1,
NA1_5127795754_VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,NA1_5127795754,"[""kpk618"", ""CookiesOP"", ""morellos"", ""imriveting"", ""Bruhbruhbruh WHO"", ""VIT k3soju"", ""VIT setsuko"", ""jasonhu432""]",1.7282E+12,2112.858642578125,Linux Version 14.19.622.3713 (Sep 28 2024/22:55:56) [PUBLIC] <Releases/14.19>,12,VeXtOJDJV2Zvx1E_43E3itOp8uaKIVeABXDOGxT48uQC4opIoD3KK04aqkIUJMB4AF8DkjJwT4zA5w,VIT k3soju,9,2,35,2099.6875,160,2,0,2,0,0,1,1,1,0,0,1,1,2,2,0,0,1,0,0,0,1,0,0,4,1,2,0,2,
